source,target
combined electro acupuncture and auricular acupuncture is potential to be an alternative treatment for primary insomnia  EOS the purpose of this study is to evaluate the clinical effectiveness of combined electroacupuncture and auricular acupuncture on persistent insomnia  EOS this is a randomized double blinded controlled trial  EOS patients will be randomly assigned to the electro acupuncture group the electro acupuncture plus auricular acupuncture group or the waitlist controlled group  EOS patients will be put into groups and then compared  EOSthe chance of getting into each group is  EOS,this is a randomized controlled trial to evaluate the clinical efficacy of combined electro acupuncture and auricular acupuncture for persistent iinsomnia in the adult population in hong kong  EOS
a prospective randomized single blind clinical trial will be conducted at the hopital du sacre coeur de montreal and hopital jean talon  EOS all patients admitted for total knee arthroplasty tka between january and september outcome variable patient receiving floseal or soc variables under study primary end point need of transfusion post op yes no how many patient will be transfused if hg g l plus if patient is symptomatic orthostatic hypotension tachycardia pulse min hypotension hx cva cad secondary end point  EOS efficacy during hospital stay pre op and post op hg hemovac blood drainage ml per operative bleeding ml  EOS safety follow up wks ms ms ms post op complications infection pain oedema allergic reaction  EOS functional outcomes knee society score kss western ontario and mcmaster universities questionnaire womac international knee documentation committee form ikdc,the purpose of this study is to compare floseal to our standard of care soc to decrease intraoperative and immediate post operative bleeding  EOS
the proposed pilot study will examine the effects of methylphenidate on imbalance and walking in subjects with ms and imbalance  EOS the subjects will be randomly assigned to receive either an escalating does of methylphenidate mg mg or mg divided into two doses each day or matched placebo for weeks at each dose  EOS if a subject does not tolerate dose escalation they will be instructed to discontinue use of the drug  EOS the maximum safely tolerated dose for each subject will be noted  EOS changes from baseline in subject s walking speed balance vestibular function cognitive function and fatigue will be assessed at each dose  EOS,methylphenidate is an amphetamine like psychomotor stimulant drug currently approved for the treatment of attention deficit hyperactivity disorder adhd postural orthostasis tachycardia syndrome and narcolepsy  EOS it is also often prescribed off label to people with ms to improve fatigue  EOS it is proposed that methylphenidate may also improve imbalance and walking deficits in ms by improving concentration and central integration one of the primary mechanisms thought to underlie imbalance and walking deficits in ms  EOS
to evaluate the safety and efficacy of a food source nutrient by comparing changes in total cholesterol levels other blood chemistries and self reported quality of life as a function of consuming two different functional food supplements versus a placebo in a day study  EOS upon completion of the pre study screening and after having received an explanation of the requirements risks and benefits and completing the informed consent interview with the research coordinator subjects will execute a written informed consent  EOS subjects will be randomly assigned to one of three study groups  EOS relevant background information  EOS a factor leading to development of vascular disease a leading cause of death in industrialized nations is elevated serum cholesterol  EOS it is estimated that of americans between the ages of and years of age have high serum cholesterol  EOS however in an analysis of test results in our database from subjects similar to those who are likely to participate in this study we found of subjects had tc scores between and and  EOS above  EOS the most prevalent form of vascular disease is arteriosclerosis a condition associated with the thickening and hardening of the arterial wall  EOS the regulation of whole body cholesterol homeostasis involves the regulation of intestinal cholesterol absorption cellular cholesterol trafficking a modulation of cholesterol biosynthesis bile acid biosynthesis steroid biosynthesis and the catabolism of the cholesterol containing plasma lipoproteins  EOS regulation of intestinal cholesterol absorption has proven to be an effective means by which to regulate serum cholesterol levels  EOS ad chol pre acp is a functional food ingredient designed to inhibit cholesterol absorption  EOS acp is a freeze dried defatted egg powder containing specific anti npcil niemann pick c like igy  EOS npc l is known as a biological target of the cholesterol uptake inhibitor ezetimibe  EOS in previous unpublished pilot studies examining the safety and efficacy of acp include acp was shown to produce a statistically inhibition of h cholesterol absorption from ug ml p  EOS in npc l over expressing hepg cell lines as compared to an inhibition of ug ml with ezetimibe alone  EOS i preliminary unpublished animal studies acp was shown to significantly inhibit radiolabelled cholesterol  EOS acp was found to significantly lower total cholesterol and ldl cholesterol in bloods from animals fed who had been fed a high fat diet for weeks  EOS,the purpose of this study is to evaluate the effectiveness of a food source nutrient containing bitter orange by comparing changes blood chemistries and self reported quality of life  EOS
hand lacerations are divided to complicated which involves tendons nerves bones and joints and simple which involves only cutaneous and subcutaneous tissue  EOS prophylactic antibiotic should not be given in a clean simple lacerations and should be given when a bone is involve open fracture  EOS but there is not enough data weather prophylactic antibiotic treatment should be given when only tendons are involved  EOS the investigators will examine groups of patients each with clean hand lacerations involving tendons  EOS one group will be treated with prophylactic antibiotic and the other wont be treated randomly  EOS the investigators assume that the rate of wound infection wont be different between the groups  EOS,the investigators assume that simple hand lacerations involving flexors or extensors tendons do not require prophylactic antibiotic treatment to prevent wound infection  EOS
rationale though integration of alcohol pharmacotherapy into primary care settings is receiving increasing emphasis and support rigorous data to inform clinicians treatment choice is lacking  EOS the most recently fda approved alcohol treatment medication an extended release depot form of naltrexone xr ntx vivitrol could greatly simplify the medical home centered alcohol treatment emphasized in the national institute on alcohol abuse and alcoholism niaaa clinician s guide  EOS injected once a month xr ntx offers a long acting and thus potentially more effective form of pharmacotherapy than oral naltrexone o ntx which despite the combined pharmacotherapies and behavioral interventions for alcohol dependence combine trial and systematic reviews supporting some efficacy has been characterized by low rates of overall prescribing poor adherence suboptimal monthly refill and inadequate treatment retention  EOS yet while promising as an alternative to o ntx xr ntx is substantially more expensive vs  EOS per month and no head to head trials have compared the two forms of naltrexone  EOS a comparative effectiveness approach is required to systematically evaluate the following key questions in primary care settings what is the relative clinical effectiveness of xr ntx vs  EOS o ntx ? what are the benefits and costs of xr ntx relative to o ntx ? and can patient and system characteristics be identified to inform treatment choice to maximize the probability of successful outcome ? implications despite several years of experience the comparative effectiveness of xr ntx compared to older alcohol medications remains uncertain particularly in a mainstream primary care treatment model that is generalizable and broadly accessible  EOS newer novel expensive medications for addiction disorders are historically greatly underutilized by primary care physicians  EOS this study is innovative both as a head to head evaluation of xr ntx vs  EOS o ntx in primary care and because expected participants will be primarily medicaid covered or uninsured persons who will not be excluded based on medical and psychiatric co morbidities that often preclude participation in efficacy studies  EOS if health insurance expansion parity reforms medical homes and accountable care organizations are to define primary care as a core alcohol treatment setting in the coming decade exactly this type of study is required to guide treatment protocols and resource allocation  EOS ultimately more widespread adoption of cost effective alcohol pharmacotherapies will result in longer healthier lives and lower costs  EOS,the proposed study is a pragmatic randomized open label clinical trial of weeks of xr ntx vs  EOS o ntx using a combine adapted medical management primary care treatment model  EOS adults yo with alcohol dependence will be recruited from the community into treatment in public sector primary care settings  EOS the primary outcome which powers this study is a dichotomous good clinical outcome defined by abstinence or moderate drinking and as measured by the timeline follow back and analyzed using an intention to treat approach among all randomized participants  EOS secondary outcomes include the incremental cost effectiveness of the two arms differences between arms by continuous measures of alcohol intake drinks day days abstinent time to first heavy drinking day bio markers and the exploratory analysis of factors possibly associated with effectiveness including gender prior treatment abstinence and mu opioid receptor oprm genotypes  EOS specific aim treatment effectiveness  EOS to evaluate the effectiveness of extended release naltrexone xr ntx vs  EOS oral naltrexone o ntx in producing a primary good clinical outcome defined as abstinence or moderate drinking drinks day men drink day women and heavy drinking occasions month during the final of weeks of primary care based medical management for alcohol dependence  EOS hypothesis the rate of this good clinical outcome will be approximately twice as great among participants receiving xr ntx compared with those receiving o ntx  EOS specific aim cost effectiveness  EOS to estimate the incremental cost effectiveness of xr ntx vs  EOS o ntx both in conjunction with primary care based medical management  EOS hypothesis xr ntx treatment will be more cost effective than o ntx  EOS specific aim patient level predictors of effectiveness  EOS to identify patient level characteristics associated with effectiveness in both arms  EOS
inclusion criteria  EOS neonates who born gestational week and gram birth weights  EOS neonates who tolerated minimal enteral feeding within postnatal first week exclusion criteria  EOS prom hours and or chorioamnionitis  EOS mechanic ventilation supply more than days  EOS culture proven sepsis  EOS major congenital anomaly  EOS patients undergoing surgery intervention the allocations will contain in opaque sequentially numbered sealed envelopes  EOS the study group will receive symbiotic preparation probiotic atp nobel sachet twice daily whereas the control group will receive placebo distilled water ml per dose twice daily which will be added to breast milk or formula starting with the first feed  EOS  EOS cc blood sampling will be taken from patients within postnatal hours  EOSdays  EOSdays  EOS this samples will turn by cold centrifugation and store at c temperature  EOS the cytokines will be analysed by elisa multiplex method  EOS,the aim of this prospective double blinded randomised study is to investigate the efficacy of symbiotic preparation which contains lactobacillus casei l  EOS rhamnosus l  EOS plantarum bifidobacterium lactis fructo and galactooligosaccharide on cytokines as interferon gama acting on th pathway interleukin acting on th interleukin acting on t regulatory pathway and interleukin acting on th pathway that were related with necrotizing enterocolitis pathogenesis in very low birth weight neonates  EOS
 t d type diabetes afflicts nearly million people in the united states most of them children or young adults  EOS untreated it is a fatal disease  EOS exogenous insulin administered by multiple injections or by a continuous subcutaneous sc infusion from a wearable pump allow long term survival in those who develop the disease and most who are treated in this way will have a very good health related quality of life  EOS however insulin therapy does not provide normal glycemic control and long term survivors commonly develop vascular complications such as diabetic retinopathy the most common cause of adult blindness and diabetic nephropathy the most common indication for adult kidney transplantation  EOS the diabetes control and complications trial dcct established that these microvascular complications of diabetes can be prevented by maintaining near normal glucose control in patients with t d  EOS however this degree of control is not always achievable despite modern insulin analogs and delivery systems and when achieved it is invariably associated with episodes of insulin induced hypoglycemia that can be life threatening  EOS a small minority of individuals with t d develop hypoglycemia unawareness a condition that is life threatening is associated with severe deterioration in quality of life and activity restriction and is not amenable to medical therapy  EOS the hope of achieving near normal glucose control without hypoglycemia in t d has provided the impetus for developing effective strategies for cell replacement via pancreas or isolated islet transplantation  EOS when successful pancreas transplantation can normalize blood glucose bg in diabetic recipients with associated stabilization and even reversal of microvascular complications  EOS however the risks of the procedure an almost early failure rate due to technical complications anastomotic leak bleeding and infection and the need for lifelong immunosuppression have in most centers limited the target population of this therapy to diabetics years of age with minimal or no coronary artery disease and at some centers pancreas transplant is offered only with concomitant kidney transplant  EOS as a result t d patients in need of cell replacement are often excluded from whole pancreas transplantation  EOS islet transplantation in contrast is accomplished by a much simpler procedure in which the islets are infused into the portal vein  EOS while this procedure is not without risk the procedural morbidity is much less than that of whole pancreas transplantation  EOS on the other hand whereas about of whole pancreas transplant recipients will be insulin independent at one year after their transplant of islet recipients transplanted between and achieved one year insulin independence  EOS this was attributed to low engrafted islet mass combined with high metabolic demand imposed by glucocorticoids used to prevent rejection  EOS in the year the group from edmonton reported a series of consecutive islet transplant recipients treated with islets from multiple donors and a glucocorticoid free immunosuppressive regimen  EOS these islet recipients were insulin free at follow up ranging from  EOS to months  EOS all of the recipients had experienced severe hypoglycemic episodes prior to transplant and afterwards none did  EOS the efficacy of the edmonton approach has now been confirmed by several other centers and represents a major breakthrough in the field  EOS however it has also become clear that in most islet recipients there is loss of graft function over time in edmonton insulin independence rates have declined from at one year to by three years  EOS a multicenter trial using the edmonton protocol has both confirmed the results of the initial experience and raised questions relating to the expansion of the procedure to multiple centers the toxicities of the immunosuppressive regimen and the evaluation of the islet product  EOS in the nih initiated several multi center clinical islet transplantation consortium clinical trials of islet transplantation with the primary goal of establishing islet transplantation as a therapeutic treatment option for patients with type diabetes either already have had a successful kidney transplant or with severe hypoglycemic events and good native renal function  EOS the clinical protocol utilized for these trials improved from the edmonton protocol in that it incorporates t cell depletion anti thymocyte antibody peri transplant anti inflammatory therapy using tumor necrosis factor tnf a blockade aggressive control of glucose homeostasis after transplant with continuing albeit reduced insulin therapy short term anticoagulation therapy peri intraportal islet infusion  EOS northwestern is one of the clinical centers of the consortium and has successfully transplanted a total of eighteen patients with twenty six islet preparations using this protocol in the past two and half years  EOS the current study protocol modifies the protocol of the cit clinical islet transplantation consortium and substituted anti thymocyte polyclonal antibody with alemtuzumab which has been shown to have efficacy in both pre clinical model as well as clinical trials of allogeneic islet transplantation  EOS,type diabetes is an autoimmune disease in which the insulin producing pancreatic beta cells are destroyed resulting in poor blood sugar control  EOS the purpose of this study is to determine the safety and effectiveness of islet transplantation combined with immunosuppressive medications specifically using campath as induction for treating type diabetes in individuals experiencing hypoglycemia unawareness and severe hypoglycemic episodes  EOS
the aim of the study is to investigate whether an intensified maintenance treatment of sirt simplified maintenance chemotherapy has a benefit in terms of time to progression ttp compared to simplified chemotherapy maintenance alone in patients with stable disease after months induction therapy  EOS we would like to demonstrate the feasibility and safety of this approach and to investigate if this strategy has the potential to increase the outcome of the patient  EOS primary end point time to first progression ttp overall secondary end points time to global progression ttp ttp time to second progression ttp ttp liver only progression free survival pfs overall survival os safety ro resection rate quality of life exploratory analysis prediction and evaluation of sir spheres treatment response only for belgian centres,the investigators propose to conduct a randomised phase iii trial evaluating a maintenance strategy comparing hepatic arterial injection of yttrium resin microspheres plus continuing simplified chemotherapy with without targeted therapy versus continuing simplified chemotherapy with without targeted therapy alone for patient with dominant or exclusive and unresectable liver mcrc controlled after months of chemotherapy induction  EOS
emergency surgery is associated with high mortality rates post operative complications and prolonged duration of hospital admission  EOS the investigators will implement a multidisciplinary optimized perioperative course consisting of a number of interventions carried out before during and after surgery  EOS hypothesis an optimized perioperative course will reduce the day mortality in emergency abdominal surgery patients  EOS the investigators will do a post hoc analysis of the data registered  EOS,the objective of this study is to implement an optimized perioperative course for patients undergoing acute high risk abdominal surgery in order to improve the outcome  EOS the optimized perioperative course consists of a number of interventions carried out before during and after surgery  EOS
